unclean_title,Date,Title,description,genres,release_year,cast,duration
Cyberpunk: Edgerunners: My Moon My Man,9/2/25,Cyberpunk,"Stylistic documentary about the cyberpunk movement. William Gibson, author of cyberpunk classic Neuromancer, and Timothy Leary, famous advocate of psychedelic drugs, share their thoughts on the future of society and technology.",,1990,,
Cyberpunk: Edgerunners: Humanity,9/2/25,Cyberpunk,"Stylistic documentary about the cyberpunk movement. William Gibson, author of cyberpunk classic Neuromancer, and Timothy Leary, famous advocate of psychedelic drugs, share their thoughts on the future of society and technology.",,1990,,
Cyberpunk: Edgerunners: Stay,9/2/25,Cyberpunk,"Stylistic documentary about the cyberpunk movement. William Gibson, author of cyberpunk classic Neuromancer, and Timothy Leary, famous advocate of psychedelic drugs, share their thoughts on the future of society and technology.",,1990,,
Cyberpunk: Edgerunners: Stronger,9/2/25,Cyberpunk,"Stylistic documentary about the cyberpunk movement. William Gibson, author of cyberpunk classic Neuromancer, and Timothy Leary, famous advocate of psychedelic drugs, share their thoughts on the future of society and technology.",,1990,,
The Vampire Diaries: Season 7: Hell Is Other People,9/2/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
Cyberpunk: Edgerunners: Girl on Fire,9/2/25,Cyberpunk,"Stylistic documentary about the cyberpunk movement. William Gibson, author of cyberpunk classic Neuromancer, and Timothy Leary, famous advocate of psychedelic drugs, share their thoughts on the future of society and technology.",,1990,,
The Leopard: Limited Series: Episode 1,9/1/25,The Leopard,"The documentary “The Leopard Rocks” accompanies Neelam, a female leopard, as she fights for the lives of her offspring, and provides a fascinating insight into the lives and adventures of one of the world's most interesting big cat species in a unique, unusual environment.",,2018,,
Outlander: Season 7: A Hundred Thousand Angels,9/1/25,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: Written In My Own Heart's Blood,9/1/25,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: Ye Dinna Get Used To It,9/1/25,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
"Outlander: Season 7: Hello, Goodbye",9/1/25,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
The Vampire Diaries: Season 7: Cold as Ice,8/31/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
The Vampire Diaries: Season 8: We Have History Together,8/31/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
DEATH NOTE: Death Note: Pursuit,8/31/25,DEATH NOTE,"A recap of Death Note episodes 1–26, with alternate footage. When rogue shinigami Ryuk leaves his Death Note in the human world, he has no idea how far the one who finds it will take his new-found power. With the Death Note in hand, brilliant high school student Light Yagami vows to rid the world of evil.",,2009,,
DEATH NOTE: Death Note: Dealings,8/31/25,DEATH NOTE,"A recap of Death Note episodes 1–26, with alternate footage. When rogue shinigami Ryuk leaves his Death Note in the human world, he has no idea how far the one who finds it will take his new-found power. With the Death Note in hand, brilliant high school student Light Yagami vows to rid the world of evil.",,2009,,
DEATH NOTE: Death Note: Confrontation,8/31/25,DEATH NOTE,"A recap of Death Note episodes 1–26, with alternate footage. When rogue shinigami Ryuk leaves his Death Note in the human world, he has no idea how far the one who finds it will take his new-found power. With the Death Note in hand, brilliant high school student Light Yagami vows to rid the world of evil.",,2009,,
DEATH NOTE: Death Note: Rebirth,8/31/25,DEATH NOTE,"A recap of Death Note episodes 1–26, with alternate footage. When rogue shinigami Ryuk leaves his Death Note in the human world, he has no idea how far the one who finds it will take his new-found power. With the Death Note in hand, brilliant high school student Light Yagami vows to rid the world of evil.",,2009,,
Outlander: Season 7: Carnal Knowledge,8/31/25,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: A Hundredweight of Stones,8/31/25,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: Brotherly Love,8/31/25,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
Outlander: Season 7: Unfinished Business,8/31/25,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",,2008,,
"The Vampire Diaries: Season 7: Hold Me, Thrill Me, Kiss Me, Kill Me",8/31/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
Wednesday: Season 2: The Devil You Woe,8/30/25,Wednesday,Jack Lemmon stars as a talk radio DJ who runs into some serious trouble live on the air.,,1974,,
Wednesday: Season 2: Here We Woe Again,8/30/25,Wednesday,Jack Lemmon stars as a talk radio DJ who runs into some serious trouble live on the air.,,1974,,
The Vampire Diaries: Season 7: Mommie Dearest,8/29/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
The Vampire Diaries: Season 7: Best Served Cold,8/28/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
The Vampire Diaries: Season 7: Live Through This,8/28/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
The Vampire Diaries: Season 7: I Carry Your Heart with Me,8/27/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
The Vampire Diaries: Season 7: Age of Innocence,8/27/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
The Vampire Diaries: Season 7: Never Let Me Go,8/27/25,The Vampire Diaries,"In the year 2012, a vampire virus has ravaged the world. Luckily, a company was able to develop and distribute a so-called ""Vampire Control System"", which allows the unaffacted population to use the vampires as docile slave labor. One day, a young girl with aspirations to one day become a great pianist asks to be hired as a maid at the family home of head of the company responsible for the ""Vampire Control System""...",,2011,,
